City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nambucca heads,-30.65,153.0,291.15,66,5,2.67,AU,1691277968
1,nijar,36.9665,-2.206,297.4,47,0,1.54,ES,1691277968
2,jamestown,42.097,-79.2353,295.92,74,0,3.09,US,1691277792
3,atuona,-9.8,-139.0333,298.5,72,70,4.44,PF,1691277969
4,avallon,47.4833,3.9,286.15,83,66,7.81,FR,1691277969
5,nome,64.5011,-165.4064,288.24,72,100,11.83,US,1691277970
6,ahipara,-35.1667,173.1667,285.83,67,46,1.88,NZ,1691277971
7,hobart,-42.8794,147.3294,284.85,79,75,4.63,AU,1691277971
8,mataura,-46.1927,168.8643,283.42,79,100,1.39,NZ,1691277971
9,mahebourg,-20.4081,57.7,295.31,68,75,4.12,MU,1691277971
10,nefteyugansk,61.0998,72.6035,287.1,66,6,3.24,RU,1691277972
11,saint george,37.1041,-113.5841,313.38,10,0,4.12,US,1691277972
12,ushuaia,-54.8,-68.3,274.96,87,75,10.8,AR,1691277867
13,sao gabriel da cachoeira,-0.1303,-67.0892,300.7,70,97,0.52,BR,1691277972
14,ziniare,12.5822,-1.2983,300.43,69,99,3.86,BF,1691277834
15,punta arenas,-53.15,-70.9167,275.38,78,100,11.56,CL,1691277852
16,bethel,41.3712,-73.414,299.32,68,0,1.54,US,1691277973
17,moissac,44.1024,1.0945,291.08,90,63,5.76,FR,1691277973
18,ostrovnoy,68.0531,39.5131,287.23,95,28,3.34,RU,1691277973
19,dingle,10.9995,122.6711,298.68,87,28,2.54,PH,1691277974
20,broome,42.2506,-75.833,297.42,71,0,3.09,US,1691277974
21,new norfolk,-42.7826,147.0587,284.66,80,100,1.1,AU,1691277895
22,carauari,-4.8828,-66.8958,299.89,69,69,0.23,BR,1691277975
23,todos santos,23.45,-110.2167,304.51,71,79,4.84,MX,1691277975
24,ibra,22.6906,58.5334,302.27,54,95,1.37,OM,1691277976
25,peace river,56.2501,-117.286,298.32,41,20,1.03,CA,1691277976
26,cidreira,-30.1811,-50.2056,290.53,94,39,5.04,BR,1691277976
27,beyneu,45.3167,55.2,303.78,26,0,3.23,KZ,1691277976
28,carnarvon,-24.8667,113.6333,291.76,77,1,1.73,AU,1691277977
29,coquimbo,-29.9533,-71.3436,287.0,100,100,1.54,CL,1691277977
30,geraldton,-28.7667,114.6,282.38,93,40,2.06,AU,1691277797
31,puerto quijarro,-17.7833,-57.7667,300.92,29,1,0.08,BO,1691277977
32,hilo,19.7297,-155.09,303.86,87,100,4.12,US,1691277978
33,makakilo city,21.3469,-158.0858,303.33,52,20,6.69,US,1691277978
34,teya,60.3778,92.6267,284.32,98,100,1.29,RU,1691277979
35,sosnovo-ozerskoye,52.5249,111.5418,287.83,84,93,3.35,RU,1691277979
36,madera,37.1666,-119.8343,310.66,24,0,4.16,US,1691277850
37,taksimo,56.3444,114.8794,293.0,61,100,1.0,RU,1691277980
38,mitsamiouli,-11.3847,43.2844,298.75,67,0,2.6,KM,1691277980
39,barrow,71.2906,-156.7887,295.16,53,0,3.6,US,1691277981
40,sorong,-0.8833,131.25,297.46,88,100,5.36,ID,1691277981
41,port lincoln,-34.7333,135.8667,284.74,66,100,3.13,AU,1691277586
42,puerto ayora,-0.7393,-90.3518,297.9,92,67,4.92,EC,1691277981
43,luderitz,-26.6481,15.1594,287.12,77,26,3.71,NA,1691277874
44,chuy,-33.6971,-53.4616,283.64,77,4,3.24,UY,1691277982
45,lompoc,34.6391,-120.4579,299.23,76,100,10.28,US,1691277982
46,mazyr,52.0495,29.2456,295.75,59,0,4.91,BY,1691277983
47,port alfred,-33.5906,26.891,293.42,43,2,4.16,ZA,1691277983
48,mezen,65.8522,44.24,287.92,97,11,1.82,RU,1691277983
49,grindavik,63.8424,-22.4338,284.41,93,100,3.09,IS,1691277983
50,port elizabeth,-33.918,25.5701,286.31,82,8,1.54,ZA,1691277983
51,norman wells,65.282,-126.8329,298.17,44,75,4.63,CA,1691277984
52,rikitea,-23.1203,-134.9692,295.66,83,82,7.95,PF,1691277984
53,newport,51.5877,-2.9984,287.49,85,4,4.4,GB,1691277783
54,vaini,-21.2,-175.2,294.24,88,100,6.69,TO,1691277984
55,parabel,58.6978,81.4825,284.71,73,22,1.19,RU,1691277985
56,albany,42.6001,-73.9662,297.8,63,100,0.89,US,1691277985
57,paoua,7.2427,16.4406,293.78,96,100,0.83,CF,1691277985
58,cacu,-18.5567,-51.1308,297.02,24,11,2.03,BR,1691277985
59,nanchong,30.7951,106.0847,299.29,86,97,2.09,CN,1691277986
60,nabire,-3.3667,135.4833,298.03,84,97,2.34,ID,1691277986
61,butaritari,3.0707,172.7902,302.0,74,16,3.92,KI,1691277986
62,mount gambier,-37.8333,140.7667,282.59,79,98,0.66,AU,1691277986
63,ilulissat,69.2167,-51.1,282.16,61,11,2.06,GL,1691277987
64,sechura,-5.5569,-80.8222,297.42,61,1,7.73,PE,1691277987
65,hervey bay,-25.2986,152.8535,291.61,76,54,4.85,AU,1691277987
66,zhangye,38.9342,100.4517,296.86,46,98,3.1,CN,1691277767
67,busselton,-33.65,115.3333,281.01,83,88,2.45,AU,1691277988
68,oxbow,49.2333,-102.1676,299.62,42,81,5.74,CA,1691277989
69,bredasdorp,-34.5322,20.0403,282.32,90,100,1.45,ZA,1691277918
70,marystown,47.1666,-55.1483,288.07,100,62,1.34,CA,1691277989
71,qaanaaq,77.484,-69.3632,276.7,98,100,3.78,GL,1691277990
72,yar-sale,66.8333,70.8333,289.18,60,3,2.36,RU,1691277990
73,yabelo,4.8833,38.0833,288.6,67,45,5.62,ET,1691277991
74,shangzhi,45.2167,127.9667,287.74,98,100,4.45,CN,1691277991
75,banda aceh,5.5577,95.3222,299.99,82,87,3.45,ID,1691277991
76,castro,-24.7911,-50.0119,287.83,66,0,2.02,BR,1691277991
77,hamilton,39.1834,-84.5333,303.95,65,40,4.63,US,1691277405
78,lixourion,38.2019,20.4314,297.41,82,35,8.58,GR,1691277992
79,kodiak,57.79,-152.4072,285.88,88,100,3.6,US,1691277873
80,talcahuano,-36.7167,-73.1167,285.97,88,75,4.12,CL,1691277992
81,lebu,-37.6167,-73.65,282.87,87,2,1.58,CL,1691277878
82,hermanus,-34.4187,19.2345,283.04,87,82,3.49,ZA,1691277777
83,natal,-5.795,-35.2094,298.51,88,40,5.66,BR,1691277817
84,malanje,-9.5402,16.341,291.86,25,1,1.17,AO,1691277993
85,ribeira grande,38.5167,-28.7,295.8,81,95,1.34,PT,1691277586
86,skelleftea,64.7507,20.9528,282.35,100,98,1.54,SE,1691277994
87,avarua,-21.2078,-159.775,296.18,73,100,3.6,CK,1691277994
88,hofn,64.2539,-15.2082,282.96,85,36,2.04,IS,1691277994
89,san matias,-16.3667,-58.4,301.74,28,5,1.28,BO,1691277995
90,kangaatsiaq,68.3065,-53.4641,277.39,88,21,2.55,GL,1691277995
91,cherskiy,68.75,161.3,278.49,81,100,6.65,RU,1691277995
92,esperance,-33.8667,121.9,282.58,69,96,5.13,AU,1691277995
93,meiganga,6.5167,14.3,292.18,97,100,1.32,CM,1691277996
94,saskylakh,71.9167,114.0833,280.99,60,46,1.26,RU,1691277996
95,ballina,-28.8667,153.5667,287.47,78,74,3.03,AU,1691277996
96,taltal,-25.4,-70.4833,288.33,81,12,2.43,CL,1691277996
97,yellowknife,62.456,-114.3525,294.44,46,75,3.09,CA,1691277961
98,lodja,-3.4833,23.4333,296.61,45,29,0.73,CD,1691277997
99,faanui,-16.4833,-151.75,299.02,71,4,3.65,PF,1691277997
100,la ronge,55.1001,-105.2842,294.29,64,75,4.63,CA,1691277998
101,naze,28.3667,129.4833,298.66,93,98,7.39,JP,1691277998
102,nanortalik,60.1432,-45.2371,278.99,93,20,3.44,GL,1691277998
103,mount vernon,40.9126,-73.8371,301.42,57,75,3.09,US,1691277999
104,ciudad bolivar,8.1222,-63.5497,302.97,60,72,2.32,VE,1691277999
105,severo-kurilsk,50.6789,156.125,284.91,91,94,4.33,RU,1691278000
106,kaeo,-35.1,173.7833,287.22,94,63,1.68,NZ,1691278000
107,souillac,-20.5167,57.5167,295.36,68,75,4.12,MU,1691278000
108,georgetown,5.4112,100.3354,300.11,92,20,1.54,MY,1691277826
109,cape town,-33.9258,18.4232,287.8,83,0,5.66,ZA,1691277909
110,sabang,5.8933,95.3214,300.97,79,42,5.15,ID,1691278001
111,tutoia,-2.7619,-42.2744,299.43,83,60,5.21,BR,1691277783
112,japura,-0.3167,102.35,295.47,88,82,1.17,ID,1691278001
113,oriximina,-1.7656,-55.8661,303.47,50,60,1.91,BR,1691278002
114,tuktoyaktuk,69.4541,-133.0374,295.15,64,40,5.66,CA,1691278002
115,port augusta,-32.5,137.7667,281.52,69,7,1.25,AU,1691278003
116,inyonga,-6.7167,32.0667,295.95,43,52,4.22,TZ,1691278003
117,hihya,30.6713,31.588,298.4,59,0,2.83,EG,1691278003
118,tuatapere,-46.1333,167.6833,282.09,94,98,1.28,NZ,1691278003
119,vanavara,60.34,102.2797,282.8,96,92,0.93,RU,1691278003
120,iqaluit,63.7506,-68.5145,287.0,67,20,1.03,CA,1691278004
121,isla vista,34.4133,-119.861,305.92,57,0,3.09,US,1691278004
122,srednebelaya,50.6594,128.0106,290.36,49,0,3.12,RU,1691278004
123,bluff,-46.6,168.3333,283.6,88,100,7.29,NZ,1691278004
124,nioro,13.35,-15.75,300.14,89,99,2.93,GM,1691278005
125,sioux lookout,50.1001,-91.917,295.19,88,100,1.54,CA,1691277869
126,airai,-8.9266,125.4092,287.82,56,4,1.51,TL,1691278005
127,khatanga,71.9667,102.5,288.31,60,33,1.83,RU,1691278005
128,atbasar,51.8,68.3333,292.34,68,16,3.3,KZ,1691278006
129,san quintin,30.4833,-115.95,296.41,64,5,5.04,MX,1691278006
130,chokurdakh,70.6333,147.9167,275.8,61,98,5.45,RU,1691278006
131,lac du bonnet,50.2536,-96.0612,302.37,29,96,3.1,CA,1691278006
132,kaitangata,-46.2817,169.8464,281.85,72,77,2.1,NZ,1691278006
133,minab,27.1467,57.0801,304.86,68,20,1.15,IR,1691278007
134,beisfjord,68.3751,17.5988,285.18,85,56,0.87,NO,1691278007
135,kuytun,54.3419,101.5036,285.22,67,53,1.27,RU,1691278008
136,krasnovka,48.8177,40.0923,297.64,53,5,4.0,RU,1691278009
137,herran,7.5061,-72.4833,295.26,91,98,1.54,CO,1691278009
138,padang,-0.9492,100.3543,296.18,88,74,1.66,ID,1691278009
139,andros,37.8333,24.9333,300.46,78,0,3.13,GR,1691278010
140,saint-philippe,-21.3585,55.7679,293.92,80,79,6.24,RE,1691278010
141,kavaratti,10.5669,72.642,301.36,74,93,8.66,IN,1691277981
142,provideniya,64.3833,-173.3,282.19,96,100,14.11,RU,1691278010
143,sulangan,11.1373,123.7228,301.38,74,14,4.99,PH,1691278010
144,bengkulu,-3.8004,102.2655,296.46,84,2,1.93,ID,1691278011
145,husavik,66.0449,-17.3389,283.33,71,39,1.35,IS,1691278011
146,alofi,-19.0595,-169.9187,298.09,88,83,2.57,NU,1691278011
147,chateauroux,46.8167,1.7,289.15,63,100,8.75,FR,1691278012
148,kailua,21.4022,-157.7394,304.14,59,0,5.66,US,1691278012
149,adrar,20.5022,-10.0711,306.63,12,34,5.02,MR,1691278012
150,grand-lahou,5.1367,-5.0242,297.11,92,78,5.18,CI,1691278012
151,sola,-13.8833,167.55,297.95,84,90,8.48,VU,1691278013
152,snezhnogorsk,69.1933,33.2531,283.03,95,100,6.44,RU,1691278013
153,henties bay,-22.116,14.2845,286.32,84,0,1.83,NA,1691278013
